time,x,y,z,yaw
1768963277.1367254,-6.522376765771962e-16,3.3458862138541726e-32,0.0,-1.23513610279244e-16
1768963277.1867454,-6.522374284800772e-16,3.345883149510345e-32,0.0,-1.2351400313269492e-16
1768963277.2367384,-6.522377452603278e-16,3.3458870621841063e-32,0.0,-1.2351421813881228e-16
1768963277.2868702,-6.522379685638155e-16,3.345889820300926e-32,0.0,-1.2351433885224721e-16
1768963277.336734,-6.522377704171095e-16,3.3458873728996173e-32,0.0,-1.2351476943059962e-16
1768963277.3867493,-6.522379199296107e-16,3.345889219597745e-32,0.0,-1.2351537036310336e-16
1768963277.436973,-6.522384246047604e-16,3.3458954531198937e-32,0.0,-1.2351574848390214e-16
1768963277.4867148,-6.522385276477323e-16,3.3458967258765137e-32,0.0,-1.2351660385911596e-16
1768963277.536708,-6.522385306013187e-16,3.345896762361664e-32,0.0,-1.235169512005573e-16
1768963277.5866718,-6.522390561237388e-16,3.3459032534592406e-32,0.0,-1.2351710019737535e-16
1768963277.636765,-6.522391868396107e-16,3.34590486803001e-32,0.0,-1.2351732009177447e-16
1768963277.686801,-6.52239520012659e-16,3.3459089833020344e-32,0.0,-1.2351781806160488e-16
1768963277.736891,-6.522399031900348e-16,3.3459137162294965e-32,0.0,-1.2351811546334352e-16
1768963277.786729,-6.522397007395576e-16,3.3459112155977154e-32,0.0,-1.2351829349560007e-16
1768963277.8372276,-6.5223994791575e-16,3.345914268677041e-32,0.0,-1.2351896983936612e-16
1768963277.8871171,-6.522404464528345e-16,3.345920426559736e-32,0.0,-1.2351922727070614e-16
1768963277.9373593,-6.522406954282961e-16,3.3459235019147875e-32,0.0,-1.2352010115926854e-16
1768963277.9869165,-6.522406812755477e-16,3.3459233270987545e-32,0.0,-1.235202675959521e-16
1768963278.0368466,-6.522409983805081e-16,3.3459272439945714e-32,0.0,-1.2352069491363657e-16
1768963278.0867188,-6.522411157154404e-16,3.3459286933391487e-32,0.0,-1.2352128941151368e-16
