time,rmse,nees,error
1768963277.1902788,2.26922378366005e-12,0.0,6.558624366770912e-13
1768963277.195384,2.2665072467920924e-12,4.302470181973819e-24,6.559340843631615e-13
1768963277.2004287,2.263801509384466e-12,4.302470181973819e-24,6.55781949890074e-13
1768963277.2053304,2.261109382148184e-12,4.348647528578182e-24,6.594448199411344e-13
1768963277.210171,2.258429998073021e-12,4.383141601992428e-24,6.620551690438621e-13
1768963277.2144198,2.258429998073021e-12,4.383141601992428e-24,6.646973482299627e-13
1768963277.2189987,2.2531125591541188e-12,4.511234409430401e-24,6.716598693923307e-13
1768963277.2241154,2.2504761559476735e-12,4.5780802746324696e-24,6.766180204771547e-13
1768963277.2283385,2.2478512946973614e-12,4.5780802746324696e-24,6.78029214775172e-13
1768963277.2360342,2.245238597582474e-12,4.6284964884227936e-24,6.803337347676003e-13
1768963277.2375095,2.242634879062487e-12,4.605096125612877e-24,6.786117592304549e-13
1768963277.2422154,2.240040194148793e-12,4.583730733436228e-24,6.77035709770581e-13
1768963277.2445173,2.240040194148793e-12,4.583730733436228e-24,6.754715181417591e-13
1768963277.249726,2.234877911813958e-12,4.544818133172841e-24,6.741558047870277e-13
1768963277.2524858,2.2323105482023254e-12,4.529918075683165e-24,6.730497973310194e-13
1768963277.255041,2.2323105482023254e-12,4.529918075683165e-24,6.720739630269899e-13
1768963277.2583091,2.2272035673366604e-12,4.504211549294795e-24,6.711373620058467e-13
1768963277.2608116,2.224663825658138e-12,4.4910086115032175e-24,6.701530104568494e-13
1768963277.263626,2.224663825658138e-12,4.4910086115032175e-24,6.695327399165895e-13
1768963277.266307,2.2221334342413986e-12,4.482698763413441e-24,6.690924777706503e-13
1768963277.269417,2.2196124690250247e-12,4.476805106280682e-24,6.68628389644901e-13
1768963277.2907164,2.2145941332005718e-12,4.385980128077193e-24,6.62271055036128e-13
1768963277.292856,2.2145941332005718e-12,4.385980128077193e-24,6.622394395140552e-13
1768963277.2959478,2.2120969804232325e-12,4.385561102818743e-24,6.61870751709863e-13
1768963277.298731,2.2096090852602576e-12,4.38067918262362e-24,6.614653335915051e-13
1768963277.302684,2.204661063149808e-12,4.3754735944318455e-24,6.61477414114023e-13
1768963277.3053205,2.2022010685510316e-12,4.374556936985089e-24,6.614081420896551e-13
1768963277.3075688,2.1997503418600096e-12,4.374556936985089e-24,6.613666172173614e-13
1768963277.3104222,2.197308475745416e-12,4.367146347564671e-24,6.608477169313757e-13
1768963277.313175,2.1948758072950218e-12,4.367361763868342e-24,6.608640364282396e-13
1768963277.3162608,2.1924522241895287e-12,4.366563970441427e-24,6.60803694117589e-13
1768963277.319184,2.190037363213882e-12,4.366563970441427e-24,6.603220297579932e-13
1768963277.3215733,2.1876315316955582e-12,4.360378975431315e-24,6.603355642030138e-13
1768963277.324518,2.185234249255212e-12,4.352838978517343e-24,6.597643995724737e-13
1768963277.3269794,2.1828458724352172e-12,4.352730662790737e-24,6.597562117475514e-13
1768963277.3930464,2.1828458724352172e-12,4.352730662790737e-24,6.582018243166618e-13
1768963277.3959866,2.180465226803311e-12,4.332244306821461e-24,6.566983525669505e-13
1768963277.3988426,2.1780923027438524e-12,4.3124755095744145e-24,6.588881759412972e-13
1768963277.4016845,2.1757297158822433e-12,4.341283380208497e-24,6.583774256140992e-13
1768963277.4045372,2.173375460955266e-12,4.334555381817628e-24,6.579715027957775e-13
1768963277.4074144,2.1710295630532494e-12,4.329211944013114e-24,6.58041783437376e-13
1768963277.4104536,2.1663632778250067e-12,4.324007628231737e-24,6.575759289129353e-13
1768963277.4130669,2.1663632778250067e-12,4.324007628231737e-24,6.572154354974135e-13
1768963277.4158468,2.164042480377716e-12,4.319267807613506e-24,6.572994550529066e-13
1768963277.418728,2.161730190429145e-12,4.320371968838616e-24,6.568839296045569e-13
1768963277.4217036,2.1594260009297857e-12,4.3149111275314385e-24,6.569438109244324e-13
1768963277.4246368,2.154842420328744e-12,4.315697580758352e-24,6.565462677602936e-13
1768963277.4272835,2.154842420328744e-12,4.310475813358948e-24,6.561135941947461e-13
1768963277.4305296,2.1502909908266146e-12,4.305613846720739e-24,6.561759219985512e-13
1768963277.4329333,2.1480272660096277e-12,4.305613846720739e-24,6.557674591793074e-13
1768963277.4360206,2.1457713392053463e-12,4.294496670580938e-24,6.553282670101555e-13
1768963277.4384525,2.1435231206973505e-12,4.287927379770104e-24,6.548268583782014e-13
1768963277.4414186,2.1412829355555864e-12,4.288245185071109e-24,6.548511453862339e-13
1768963277.4438941,2.1412829355555864e-12,4.288245185071109e-24,6.543099113649031e-13
1768963277.4479642,2.1368252504690397e-12,4.273380964599899e-24,6.537152362927572e-13
1768963277.4508123,2.13460768668009e-12,4.273380964599899e-24,6.532087510085322e-13
1768963277.453409,2.13460768668009e-12,4.2667615286098816e-24,6.533132583108634e-13
1768963277.4560168,2.130195748036905e-12,4.260297622610089e-24,6.527138077336724e-13
1768963277.458757,2.12800085778522e-12,4.260297622610089e-24,6.522064613363091e-13
1768963277.4615026,2.12800085778522e-12,4.253677099272756e-24,6.523504370850057e-13
1768963277.4645445,2.1258137710420296e-12,4.2555550504895585e-24,6.517592884412777e-13
1768963277.466791,2.121461367209466e-12,4.241381412228858e-24,6.51263187204365e-13
1768963277.4699275,2.121461367209466e-12,4.241381412228858e-24,6.508236053757823e-13
1768963277.49888,2.1192960716692654e-12,4.235657607142548e-24,6.518000132268408e-13
1768963277.502402,2.114989481063613e-12,4.24837337609973e-24,6.519427020091373e-13
1768963277.5056424,2.114989481063613e-12,4.250233374685259e-24,6.518826172906356e-13
1768963277.5093904,2.1128473828094844e-12,4.2494498441514354e-24,6.518747638290319e-13
1768963277.5126104,2.1107126826665926e-12,4.249347185490588e-24,6.51865730490914e-13
1768963277.5157366,2.108585338271528e-12,4.249229145768387e-24,6.516583310918641e-13
1768963277.5186887,2.1064651720093928e-12,4.246525541539132e-24,6.516734070409773e-13
1768963277.5218766,2.1043522962567817e-12,4.246721758476364e-24,6.516114861890696e-13
1768963277.5246143,2.102246617563703e-12,4.245914494933162e-24,6.514118241815654e-13
1768963277.527768,2.09805654679376e-12,4.243312748532594e-24,6.514143582493317e-13
1768963277.530902,2.09805654679376e-12,4.243345492815556e-24,6.511033844761023e-13
1768963277.5338235,2.095971999753375e-12,4.239294921448055e-24,6.510867341678447e-13
