time,rmse,nees,error
1768960498.933155,1.836346652011235e-12,3.9219209385290536e-24,6.263937111387009e-13
1768960498.9337246,1.831300344607714e-12,3.9236877715900756e-24,6.265382823347006e-13
1768960498.9353068,1.8263029570271066e-12,3.925499133763644e-24,6.266808261596196e-13
1768960498.9367783,1.8213537276084327e-12,3.9272855036224694e-24,6.268276580211891e-13
1768960498.9381194,1.8164519242793564e-12,3.9291260368111125e-24,6.269719047894108e-13
1768960498.9386144,1.8115968162339396e-12,3.930934585513753e-24,6.271112295139461e-13
1768960498.9399598,1.806787683220444e-12,3.932681816769979e-24,6.272538252254966e-13
1768960498.9405377,1.8020238371498861e-12,3.934470470878424e-24,6.273941341529426e-13
1768960498.9421737,1.797304592849334e-12,3.936230837311392e-24,6.275385359309367e-13
1768960498.9427254,1.792629292583605e-12,3.9380429656781025e-24,6.27680161274854e-13
1768960498.9430058,1.7879972781120297e-12,3.9398206567631964e-24,6.278166331448409e-13
1768960498.9432645,1.7834078997953616e-12,3.941534040038936e-24,6.279561812275713e-13
1768960498.9450076,1.7788605380867621e-12,3.9432864301983786e-24,6.280932302919572e-13
1768960498.945651,1.7743545746807517e-12,3.945007817446488e-24,6.282342173728957e-13
1768960498.945992,1.769889416864009e-12,3.946779060064852e-24,6.283722630098009e-13
1768960498.9462676,1.765464469910327e-12,3.948513733719561e-24,6.285049479941683e-13
1768960498.9465396,1.7610791460292274e-12,3.950181404324383e-24,6.286405490251837e-13
1768960498.9487534,1.7567328857625762e-12,3.951886089805701e-24,6.287734799570046e-13
1768960498.9493885,1.7524251294957287e-12,3.9535575652280444e-24,6.28910238184495e-13
1768960498.9497035,1.7481553416308596e-12,3.955277534367312e-24,6.290439456219537e-13
1768960498.9499996,1.7439229833148892e-12,3.956959495864812e-24,6.291721415309643e-13
1768960498.9521801,1.7397275212064072e-12,3.9585724606509e-24,6.293031357669684e-13
1768960498.9525077,1.7355684487476378e-12,3.960220973914721e-24,6.294313226974023e-13
1768960498.9528022,1.7314452580268015e-12,3.961834490181861e-24,6.295632530267832e-13
1768960498.953066,1.7273574637792927e-12,3.963495469017659e-24,6.296920361861017e-13
1768960498.953325,1.7233045764154306e-12,3.9651171609256e-24,6.298151681951312e-13
1768960498.9535916,1.7192861106305835e-12,3.966668000658293e-24,6.299410022698422e-13
1768960498.956526,1.7153016065763657e-12,3.968253186341216e-24,6.300639252360949e-13
1768960498.9568856,1.7113506020578237e-12,3.969802004951237e-24,6.301905396040432e-13
1768960498.9571662,1.707432656338486e-12,3.971397651297535e-24,6.303139468218423e-13
1768960498.9574416,1.7035473234625752e-12,3.972953187955138e-24,6.304316039436758e-13
1768960498.9577427,1.6996941607084867e-12,3.974436528073167e-24,6.30551895673901e-13
1768960498.958012,1.6958727496283143e-12,3.97595337008694e-24,6.306691844464774e-13
1768960498.9582796,1.6920826685532586e-12,3.9774326239739795e-24,6.307901271589258e-13
1768960498.9585524,1.6883235162442601e-12,3.9789582501876296e-24,6.309078245617615e-13
1768960498.9627275,1.6808963714315279e-12,3.981854787475028e-24,6.310196840188659e-13
1768960499.419148,1.677232124056501e-12,4.013245421542876e-24,6.335021287624773e-13
1768960499.4225616,1.6735971472130456e-12,4.0143020342072614e-24,6.335855191639605e-13
1768960499.4252975,1.6735971472130456e-12,4.0143020342072614e-24,6.336657027609181e-13
1768960499.4294958,1.6699910625230482e-12,4.0153181450373565e-24,6.33749609336929e-13
1768960499.4331694,1.6628641284358692e-12,4.016381572988521e-24,6.338302908473e-13
1768960499.4354804,1.6593425491587768e-12,4.01835029860658e-24,6.339049165700999e-13
