time,x,y,z,yaw
1768964285.1020439,-6.523655762340525e-16,3.347467307486622e-32,0.0,-1.2372628521529857e-16
1768964285.1494694,-6.523654142967897e-16,3.3474653038968607e-32,0.0,-1.237263072822445e-16
1768964285.2001295,-6.523656947857164e-16,3.3474687742820946e-32,0.0,-1.237270543972577e-16
1768964285.2498784,-6.523660203498073e-16,3.347472802388751e-32,0.0,-1.237270284811557e-16
1768964285.2994165,-6.523658910068258e-16,3.347471202063221e-32,0.0,-1.2372739267166936e-16
1768964285.3499856,-6.523663500100852e-16,3.3474768811970105e-32,0.0,-1.2372784822655668e-16
1768964285.399978,-6.523665537931579e-16,3.347479402562954e-32,0.0,-1.2372787182573917e-16
1768964285.4494636,-6.523666510841509e-16,3.347480606327384e-32,0.0,-1.2372818678393907e-16
1768964285.4998932,-6.523668504918898e-16,3.347483073574415e-32,0.0,-1.2372865120205213e-16
1768964285.549416,-6.523670218757105e-16,3.3474851940857907e-32,0.0,-1.2372916896823291e-16
1768964285.6000884,-6.523673371907958e-16,3.347489095460497e-32,0.0,-1.2372959769157193e-16
1768964285.64948,-6.523671351738907e-16,3.347486595914099e-32,0.0,-1.2372946985737556e-16
1768964285.699427,-6.523673827168391e-16,3.347489658745796e-32,0.0,-1.2372986453003039e-16
1768964285.750557,-6.523679790921084e-16,3.347497037701395e-32,0.0,-1.2373033345992138e-16
1768964285.7994654,-6.523679530049191e-16,3.3474967149178124e-32,0.0,-1.2373102935539886e-16
1768964285.8494503,-6.523683592627331e-16,3.347501741587329e-32,0.0,-1.2373173155594886e-16
1768964285.8994756,-6.523688157094995e-16,3.347507389293213e-32,0.0,-1.237323571179063e-16
1768964285.9494462,-6.523691816761893e-16,3.347511917510915e-32,0.0,-1.2373312290779437e-16
1768964286.000889,-6.523692202750296e-16,3.3475123951120725e-32,0.0,-1.2373338590648376e-16
1768964286.0494716,-6.523693340534957e-16,3.347513802940954e-32,0.0,-1.2373378331162674e-16
1768964286.099475,-6.523694598710907e-16,3.3475153597228354e-32,0.0,-1.237342252774271e-16
