time,x,y,z,yaw
1768965549.746954,-6.522317566631832e-16,3.3458130975148125e-32,0.0,-1.2350406559372903e-16
1768965549.7970102,-6.522315054925701e-16,3.34580999545368e-32,0.0,-1.235041736092788e-16
1768965549.846904,-6.522317554763121e-16,3.34581308285459e-32,0.0,-1.235048983631159e-16
1768965549.8969936,-6.522322216008342e-16,3.345818839721161e-32,0.0,-1.2350485860679228e-16
1768965549.9471714,-6.522320233217581e-16,3.345816390873322e-32,0.0,-1.2350515601202033e-16
1768965549.9969196,-6.522327032452684e-16,3.3458247883014886e-32,0.0,-1.2350605662770044e-16
1768965550.04691,-6.52232771750651e-16,3.3458256343849127e-32,0.0,-1.2350614630128662e-16
1768965550.0969148,-6.52232771750651e-16,3.3458256343849127e-32,0.0,-1.2350614630128662e-16
1768965550.1470942,-6.522328867652256e-16,3.3458270548866545e-32,0.0,-1.2350621380964728e-16
1768965550.1970751,-6.522328867652256e-16,3.3458270548866545e-32,0.0,-1.2350621380964728e-16
1768965550.246924,-6.522327521444285e-16,3.3458253922339667e-32,0.0,-1.235064579556687e-16
1768965550.2971082,-6.522332001456455e-16,3.34583092534849e-32,0.0,-1.2350674347656235e-16
1768965550.3469732,-6.522336847401127e-16,3.3458369104257516e-32,0.0,-1.2350724679468998e-16
1768965550.396886,-6.522335897894429e-16,3.3458357377122103e-32,0.0,-1.2350750153311095e-16
1768965550.446973,-6.522336514442515e-16,3.3458364991922637e-32,0.0,-1.2350764827390513e-16
1768965550.4970837,-6.522340568362138e-16,3.3458415060984294e-32,0.0,-1.235080048083735e-16
1768965550.5469308,-6.522345671999194e-16,3.345847809510322e-32,0.0,-1.2350823737411294e-16
1768965550.597004,-6.522343616118292e-16,3.345845270329362e-32,0.0,-1.2350832525528716e-16
1768965550.6473484,-6.522347797643932e-16,3.345850434858476e-32,0.0,-1.235083638678018e-16
1768965550.697037,-6.522352085267161e-16,3.345855730452697e-32,0.0,-1.2350904644109064e-16
1768965550.7469769,-6.522353772123762e-16,3.3458578138891515e-32,0.0,-1.2350998131085972e-16
1768965550.7970648,-6.522355567663378e-16,3.345860031560155e-32,0.0,-1.235102723419426e-16
1768965550.8470137,-6.522354429461828e-16,3.3458586257641596e-32,0.0,-1.235104321927566e-16
1768965550.8969767,-6.522357496548852e-16,3.3458624139369874e-32,0.0,-1.235107180656193e-16
1768965550.9469454,-6.522362544408166e-16,3.3458686486297024e-32,0.0,-1.2351192744208194e-16
1768965550.9970088,-6.522362878183138e-16,3.345869060883923e-32,0.0,-1.2351209597102671e-16
1768965551.0474713,-6.522366018654943e-16,3.3458729397496173e-32,0.0,-1.235123348903671e-16
1768965551.0969882,-6.522368792333151e-16,3.345876365594422e-32,0.0,-1.235129047229652e-16
1768965551.1469936,-6.522366413677646e-16,3.345873427645156e-32,0.0,-1.2351307012195992e-16
1768965551.1971216,-6.522375075255159e-16,3.3458841258357375e-32,0.0,-1.235134786681493e-16
1768965551.2479782,-6.522375601530017e-16,3.3458847758573004e-32,0.0,-1.2351351561013196e-16
1768965551.2970572,-6.522376765771962e-16,3.3458862138541726e-32,0.0,-1.23513610279244e-16
1768965551.3470457,-6.522378336448093e-16,3.34588815385986e-32,0.0,-1.2351385549747001e-16
1768965551.3970077,-6.522377452603278e-16,3.3458870621841063e-32,0.0,-1.2351421813881228e-16
1768965551.4469287,-6.522379685638155e-16,3.345889820300926e-32,0.0,-1.2351433885224721e-16
1768965551.496973,-6.522381531328802e-16,3.345892100014052e-32,0.0,-1.2351515887251749e-16
1768965551.5468624,-6.522379199296107e-16,3.345889219597745e-32,0.0,-1.2351537036310336e-16
1768965551.5969796,-6.522384246047604e-16,3.3458954531198937e-32,0.0,-1.2351574848390214e-16
1768965551.646972,-6.522385276477323e-16,3.3458967258765137e-32,0.0,-1.2351660385911596e-16
1768965551.6969986,-6.522385306013187e-16,3.345896762361664e-32,0.0,-1.235169512005573e-16
1768965551.7469382,-6.522389151164685e-16,3.345901511780714e-32,0.0,-1.2351715449259557e-16
1768965551.7969892,-6.522391868396107e-16,3.34590486803001e-32,0.0,-1.2351732009177447e-16
1768965551.8469844,-6.52239520012659e-16,3.3459089833020344e-32,0.0,-1.2351781806160488e-16
1768965551.8974462,-6.522399031900348e-16,3.3459137162294965e-32,0.0,-1.2351811546334352e-16
1768965551.947106,-6.522397007395576e-16,3.3459112155977154e-32,0.0,-1.2351829349560007e-16
1768965551.9981048,-6.52240028544281e-16,3.34591526459052e-32,0.0,-1.2351857591117058e-16
1768965552.0469704,-6.522404464528345e-16,3.345920426559736e-32,0.0,-1.2351922727070614e-16
1768965552.096971,-6.522402019889695e-16,3.3459174069548046e-32,0.0,-1.2351978668028958e-16
1768965552.1469624,-6.522406812755477e-16,3.3459233270987545e-32,0.0,-1.235202675959521e-16
1768965552.1969967,-6.522409983805081e-16,3.3459272439945714e-32,0.0,-1.2352069491363657e-16
1768965552.2475717,-6.522411157154404e-16,3.3459286933391487e-32,0.0,-1.2352128941151368e-16
1768965552.2999687,-6.522413172425727e-16,3.345931182625599e-32,0.0,-1.2352118199911234e-16
1768965552.34719,-6.522415133692826e-16,3.3459336052176265e-32,0.0,-1.2352170697988613e-16
1768965552.3969672,-6.522413152809608e-16,3.345931158388103e-32,0.0,-1.2352248769416187e-16
1768965552.447033,-6.522416623147276e-16,3.3459354450371015e-32,0.0,-1.235226934509064e-16
1768965552.496855,-6.522417687363624e-16,3.345936759594844e-32,0.0,-1.2352307092278227e-16
1768965552.5468972,-6.522416824235578e-16,3.345935693432908e-32,0.0,-1.2352310458804117e-16
1768965552.597965,-6.522421743689718e-16,3.345941770094211e-32,0.0,-1.235230751056048e-16
1768965552.6469128,-6.522426124828606e-16,3.3459471818126794e-32,0.0,-1.2352333679276574e-16
1768965552.6970072,-6.522424575630985e-16,3.3459452681874103e-32,0.0,-1.2352367785090122e-16
1768965552.747002,-6.5224284119902125e-16,3.345950007007868e-32,0.0,-1.2352409905596223e-16
1768965552.7969236,-6.522430578163077e-16,3.345952682766407e-32,0.0,-1.2352465277234097e-16
1768965552.847032,-6.522429477118137e-16,3.3459513227054186e-32,0.0,-1.235246230421226e-16
1768965552.897245,-6.522435700917447e-16,3.3459590106501107e-32,0.0,-1.2352548687772604e-16
1768965552.9474218,-6.52243614979905e-16,3.3459595651424635e-32,0.0,-1.2352589585306995e-16
1768965552.9971972,-6.522437832497433e-16,3.34596164372186e-32,0.0,-1.235263141438204e-16
1768965553.0469844,-6.522437832497433e-16,3.34596164372186e-32,0.0,-1.235263141438204e-16
1768965553.0971014,-6.522440412421064e-16,3.3459648306004146e-32,0.0,-1.2352736405271412e-16
1768965553.1479337,-6.522442563283192e-16,3.345967487495741e-32,0.0,-1.2352772281935037e-16
1768965553.197024,-6.522447859013547e-16,3.345974029197896e-32,0.0,-1.235280563300027e-16
1768965553.2479594,-6.522450517688508e-16,3.3459773134276753e-32,0.0,-1.235288526655502e-16
1768965553.2970014,-6.522450553809403e-16,3.345977358047803e-32,0.0,-1.2352879515609455e-16
1768965553.3470201,-6.522455306556463e-16,3.3459832290630393e-32,0.0,-1.2352898441889682e-16
1768965553.396967,-6.522457847240502e-16,3.345986367543539e-32,0.0,-1.235289875147554e-16
1768965553.449289,-6.522459620044205e-16,3.3459885574687926e-32,0.0,-1.23528833286465e-16
1768965553.4972053,-6.522461391216132e-16,3.345990745389569e-32,0.0,-1.2352938419360296e-16
1768965553.5469816,-6.522462480672992e-16,3.345992091187281e-32,0.0,-1.2352991299392405e-16
1768965553.5974321,-6.522464883134057e-16,3.3459950589482834e-32,0.0,-1.235301301190074e-16
1768965553.6477454,-6.522467584690262e-16,3.345998396189668e-32,0.0,-1.2353049043633084e-16
1768965553.6975617,-6.522465157061594e-16,3.34599539732516e-32,0.0,-1.2353074060298338e-16
1768965553.747678,-6.522468881360643e-16,3.34599999798802e-32,0.0,-1.235313217130765e-16
1768965553.7975404,-6.522466586580336e-16,3.345997163209441e-32,0.0,-1.2353176524223868e-16
1768965553.847654,-6.522469863817117e-16,3.3460012116439005e-32,0.0,-1.2353220009213302e-16
1768965553.8970604,-6.52247258190801e-16,3.346004569361859e-32,0.0,-1.2353227548216995e-16
1768965553.9469647,-6.522471969109635e-16,3.3460038123558136e-32,0.0,-1.2353240694731443e-16
1768965553.9969196,-6.5224766429162e-16,3.3460095860278903e-32,0.0,-1.2353266610359222e-16
1768965554.0470443,-6.522479822478184e-16,3.34601351382671e-32,0.0,-1.2353272516167971e-16
1768965554.0969644,-6.52248247491255e-16,3.34601679047157e-32,0.0,-1.2353305450586458e-16
1768965554.147035,-6.522482794246173e-16,3.3460171849551665e-32,0.0,-1.2353312471268755e-16
1768965554.1970053,-6.52248737888936e-16,3.3460228485118294e-32,0.0,-1.2353314821369709e-16
1768965554.2468913,-6.522490735376599e-16,3.3460269948987266e-32,0.0,-1.2353363622579025e-16
1768965554.297989,-6.522487148300592e-16,3.346022563652876e-32,0.0,-1.2353369814196338e-16
1768965554.346985,-6.522489789949548e-16,3.346025826984522e-32,0.0,-1.2353409798942517e-16
1768965554.3975291,-6.522492233947656e-16,3.3460288461659655e-32,0.0,-1.235346399594479e-16
1768965554.4472268,-6.522492312437894e-16,3.346028943125515e-32,0.0,-1.235349000159321e-16
1768965554.4969983,-6.522497475356381e-16,3.3460353211409714e-32,0.0,-1.235356866868121e-16
1768965554.5469396,-6.522500324025018e-16,3.3460388402675435e-32,0.0,-1.235359148281634e-16
1768965554.5977871,-6.522501652456057e-16,3.3460404813631134e-32,0.0,-1.235362382766973e-16
1768965554.6476567,-6.522504498207876e-16,3.346043996906287e-32,0.0,-1.2353685444770167e-16
1768965554.6969852,-6.522504327279232e-16,3.346043785744975e-32,0.0,-1.2353678238962553e-16
1768965554.7470434,-6.5225103102031655e-16,3.346051176874932e-32,0.0,-1.2353751565394088e-16
1768965554.7968917,-6.52251406205319e-16,3.3460558118253436e-32,0.0,-1.2353797558150682e-16
1768965554.8469944,-6.522512674879372e-16,3.346054098136301e-32,0.0,-1.23538061671011e-16
1768965554.8968773,-6.522516211867075e-16,3.3460584676705965e-32,0.0,-1.2353913497562574e-16
1768965554.9470088,-6.522520595990127e-16,3.3460638837774264e-32,0.0,-1.23539224017291e-16
1768965554.9970884,-6.522523724359919e-16,3.346067748559028e-32,0.0,-1.2353979008156299e-16
1768965555.0469506,-6.522521965306014e-16,3.3460655754233337e-32,0.0,-1.235402133210959e-16
1768965555.0970333,-6.522526463339266e-16,3.346071132316542e-32,0.0,-1.235407003423288e-16
1768965555.1471906,-6.522529530068794e-16,3.346074920982012e-32,0.0,-1.235410593460521e-16
1768965555.1982353,-6.52253109590786e-16,3.3460768554377433e-32,0.0,-1.2354110780902537e-16
1768965555.2481759,-6.522528106379125e-16,3.346073162133446e-32,0.0,-1.2354131134801078e-16
1768965555.2975411,-6.522532873304836e-16,3.346079051259098e-32,0.0,-1.2354182555248243e-16
1768965555.3473296,-6.522537494770868e-16,3.346084760705402e-32,0.0,-1.2354192928171656e-16
1768965555.396989,-6.522543068059617e-16,3.3460916460781563e-32,0.0,-1.235425990662527e-16
1768965555.4480538,-6.52254190216459e-16,3.346090205699664e-32,0.0,-1.2354293265173552e-16
1768965555.4986382,-6.522544484917707e-16,3.34609339650801e-32,0.0,-1.2354282501664895e-16
1768965555.5469217,-6.522548633365002e-16,3.346098521617366e-32,0.0,-1.2354294887666066e-16
1768965555.5971932,-6.522547484850551e-16,3.346097102708972e-32,0.0,-1.2354285305993738e-16
1768965555.6481004,-6.522552381771289e-16,3.346103152509016e-32,0.0,-1.235430567912482e-16
